timestamp,x,y,yaw
1667309582682049036,0,0,0
1667309582807136058,0,0,0
1667309582868988037,0,0,0
1667309582931519985,0,0,0
1667309582994059085,0,0,0
1667309583056525945,0,0,0
1667309583119080066,0,0,0
1667309583181581974,0,0,0
1667309583244055986,0,0,0
1667309583306444883,0,0,0
1667309583371469974,0,0,0
1667309583431592941,0,0,0
1667309583494250059,0,0,0
1667309583556514978,0,0,0
1667309583619432926,0,0,0
1667309583681382894,0,0,0
1667309583744020938,0,0,0
1667309583806464910,0,0,0
1667309583868997097,0,0,0
1667309583931557893,0,0,0
1667309583993997097,0,0,0
1667309584056550979,0,0,0
1667309584119255065,0,0,0
1667309584181453943,0,0,0
1667309584244571924,0,0,0
1667309584306660890,0,0,0
1667309584369458913,0,0,0
1667309584431695938,0,0,0
1667309584494396924,0,0,0
1667309584556595087,0,0,0
1667309584619946002,0,0,0
1667309584681442022,0,0,0
1667309584744409084,0,0,0
1667309584807044029,0,0,0
1667309584869065999,0,0,0
1667309584931638002,0,0,0
1667309584994113922,0,0,0
1667309585056519031,0,0,0
1667309585119087934,0,0,0
1667309585181467056,0,0,0
1667309585244230031,0,0,0
1667309585306480884,0,0,0
1667309585369010925,0,0,0
1667309585431802988,0,0,0
1667309585493982076,0,0,0
1667309585556523084,0,0,0
1667309585619188070,0,0,0
1667309585681387901,0,0,0
1667309585744083881,0,0,0
1667309585806487083,0,0,0
1667309585869357109,0,0,0
1667309585933098077,0,0,0
1667309585994052886,0,0,0
1667309586056655883,0,0,0
1667309586119149923,0,0,0
1667309586181504011,0,0,0
1667309586244268894,0,0,0
1667309586306571006,0,0,0
1667309586368938922,0,0,0
1667309586431673049,0,0,0
1667309586493837118,0,0,0
1667309586557029008,0,0,0
1667309586620186090,0,0,0
1667309586681412935,0,0,0
1667309586744240045,0,0,0
1667309586806493997,0,0,0
1667309586869153976,0,0,0
1667309586931596994,0,0,0
1667309586993978977,0,0,0
1667309587056608915,0,0,0
1667309587121943950,0,0,0
1667309587181632041,0,0,0
1667309587244112968,0,0,0
1667309587306619882,0,0,0
1667309587369200944,0,0,0
1667309587431622982,0,0,0
1667309587494914054,0,0,0
1667309587619271039,0,0,0
1667309587681549072,0,0,0
1667309587744093894,0,0,0
1667309587806664943,0,0,0
1667309587931616067,0,0,0
1667309587994194984,0,0,0
1667309588056561946,0,0,0
1667309588120049953,0,0,0
1667309588244169950,0,0,0
1667309588306566953,0,0,0
1667309588370505094,0,0,0
1667309588494004964,0,0,0
1667309588556662082,0,0,0
1667309588620980978,0,0,0
1667309588744153022,0,0,0
1667309588806683063,0,0,0
1667309588869142055,0,0,0
